,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE,clusters
125,1.6475,179.0,11.0,637.0,0.24,1.04,5.251,0.0,0.13,0.47,1.19,1951.0,14.0,5.0,1.59,29.0,17.0,240.0,2.0,6.27,4.06,2.0,135.2,4.25,0.018,3
126,1.6475,0.0,9.5,539.0,0.215,0.495,4.0125,0.0,0.1,0.525,0.37,2809.5,6.5,7.0,0.875,34.0,17.0,256.5,2.0,4.23,1.425,2.5,1867.15,4.25,0.0026,2
127,1.6475,15.0,8.0,472.0,0.07,0.52,4.345,0.0,0.27,0.35,1.66,1679.0,5.0,0.0,1.02,26.0,17.0,214.0,2.0,4.82,1.82,2.0,186.4,4.25,0.0059,2
128,0.84,171.0,4.0,181.0,0.38,0.65,0.706,0.0,0.22,0.0,1.57,330.0,1.0,23.0,0.71,24.0,17.0,203.0,3.0,7.16,2.86,0.0,231.0,7.0,0.004,0
129,1.88,124.0,4.0,251.0,0.34,0.79,0.382,0.0,0.19,0.02,1.33,532.0,1.0,37.0,0.63,20.0,17.0,135.0,5.0,7.14,0.98,0.0,466.3,4.25,0.004,0
130,2.03,167.0,3.0,226.0,0.49,0.95,2.021,0.0,0.22,0.0,1.87,569.0,2.0,42.0,1.22,25.0,17.0,181.0,4.0,7.13,3.49,0.0,394.0,3.25,0.004,0
131,1.6475,620.0,14.0,747.0,0.29,1.205,3.14,0.0,0.105,0.59,0.91,1869.5,33.0,32.0,1.82,33.0,17.0,340.0,3.0,6.43,4.655,2.0,327.5,4.25,0.006,3
132,1.6475,0.0,8.0,588.0,0.17,0.53,4.636,0.0,0.08,0.58,0.25,3009.0,1.0,17.0,0.83,33.0,17.0,294.0,2.0,4.24,1.52,3.0,249.1,4.25,0.0009,2
133,1.6475,23.0,8.0,502.0,0.04,0.5,4.558,0.0,0.05,0.4,1.3,1718.0,4.0,15.0,0.9,19.0,17.0,514.0,1.0,4.87,1.71,2.0,164.2,4.25,0.002,2
134,1.6475,146.8,3.0,313.0,0.51,0.8,2.012,0.0,0.28,0.0,1.99,572.0,2.0,61.0,1.1,26.0,17.0,179.0,4.0,7.14,2.8,0.0,746.5,4.25,0.004,0
135,1.6475,207.0,13.0,761.0,0.24,1.13,5.833,0.0,0.14,0.61,0.74,2220.0,24.0,32.0,1.78,31.0,17.0,277.0,3.0,6.25,4.53,2.0,652.0,4.25,0.011,3
136,1.6475,0.0,8.0,612.0,0.1,0.54,4.358,0.0,0.08,0.58,0.21,3128.0,4.0,36.0,0.86,35.0,17.0,286.0,3.0,4.15,1.52,3.0,258.4,4.25,0.0015,2
137,1.6475,24.0,8.0,540.0,0.04,0.52,4.926,0.0,0.09,0.43,1.24,1951.0,2.0,23.0,1.0,21.0,17.0,288.0,3.0,4.82,1.84,2.0,269.5,4.25,0.0026,2
138,1.5,169.0,3.0,192.0,0.37,0.62,0.606,0.0,0.18,0.0,1.45,305.0,1.0,46.0,0.7,23.0,17.0,196.0,4.0,7.34,2.72,0.0,490.7,7.75,0.004,0
139,1.6,256.0,3.5,255.0,0.345,0.765,0.3415,0.0,0.21,0.0,1.365,505.5,0.5,65.0,0.635,20.0,17.0,138.0,3.5,7.11,1.885,0.0,507.75,4.25,0.004,0
140,1.6475,253.0,5.5,754.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.003,0
141,1.6475,0.0,5.5,663.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.0002,2
142,1.6475,22.0,5.5,590.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.001,0
143,3.1,163.0,3.0,248.0,0.39,0.78,1.986,0.0,0.26,0.02,2.15,601.0,3.0,61.0,1.04,25.0,17.0,171.0,3.0,7.06,2.78,1.0,446.5,2.75,0.004,0
144,1.6475,98.0,11.0,718.0,0.08,0.85,4.478,0.0,0.03,0.5,0.56,2277.0,7.0,45.0,1.04,24.0,17.0,235.0,6.0,5.6,3.49,2.0,463.4,4.25,0.178,2
145,1.6475,0.0,9.0,570.0,0.07,0.47,2.797,0.0179,0.07,0.4,0.21,2688.0,2.0,42.0,0.64,36.0,17.0,362.0,6.0,4.18,1.41,3.0,369.8,4.25,0.0157,2
146,1.6475,13.0,8.0,681.0,0.08,0.53,4.091,0.0,0.08,0.29,1.09,1922.0,1.0,39.0,0.67,25.0,17.0,284.0,4.0,7.1,1.84,1.0,260.2,4.25,0.0679,2
147,1.6475,161.0,2.0,288.0,0.41,0.77,1.991,0.0,0.22,0.0,1.8,602.0,4.0,55.0,1.05,22.0,17.0,168.0,5.0,4.72,2.74,1.0,481.8,4.25,0.004,0
148,1.6475,149.0,13.0,724.0,0.24,0.97,5.483,0.0,0.17,0.67,0.74,2047.0,19.0,32.0,1.32,26.0,17.0,287.0,3.0,5.92,3.91,3.0,250.4,4.25,0.046,3
149,1.6475,0.0,7.0,588.0,0.04,0.43,4.218,0.0153,0.06,0.58,0.45,2759.0,2.0,20.0,0.75,36.0,17.0,340.0,2.0,4.16,1.26,3.0,176.6,4.25,0.0054,2
150,1.6475,159.0,2.0,290.0,0.39,0.76,2.036,0.0,0.28,0.02,1.72,628.0,5.0,81.0,1.09,25.0,17.0,182.0,4.0,6.98,2.71,1.0,596.5,4.25,0.004,0
151,1.6475,172.0,20.0,810.0,0.14,1.05,5.852,0.0,0.08,0.86,0.71,2088.0,33.0,46.0,1.37,29.0,17.0,328.0,4.0,6.01,4.33,4.0,336.2,4.25,0.023,3
152,1.6475,0.0,8.0,593.5,0.06,0.43,4.5455,0.0,0.055,0.565,0.4,2758.5,1.0,9.5,0.8,37.5,17.0,374.0,2.0,4.17,1.215,4.0,210.55,4.25,0.0031,2
153,1.6475,16.0,6.0,520.0,0.02,0.45,4.853,0.0,0.05,0.34,1.34,1707.0,1.0,16.0,0.77,20.0,17.0,357.0,2.0,4.78,1.62,2.0,121.9,4.25,0.009,2
154,1.6475,155.0,2.0,287.0,0.41,0.76,2.085,0.0,0.24,0.02,1.78,675.0,3.0,71.0,1.07,25.0,17.0,159.0,5.0,7.07,2.7,0.0,609.5,4.25,0.004,0
155,1.59,164.0,2.0,198.0,0.36,0.62,0.54,0.0,0.16,0.0,1.32,333.0,2.0,51.0,0.69,22.0,17.0,191.0,4.0,7.21,2.67,0.0,454.5,4.5,0.004,0
156,2.4,113.0,2.0,291.0,0.32,0.75,3.457,0.0,0.16,0.02,1.18,583.0,0.0,56.0,0.62,18.0,17.0,134.0,5.0,6.46,1.81,0.0,546.0,4.25,0.004,0
157,3.18,153.0,3.0,264.0,0.36,0.75,2.089,0.0,0.22,0.02,1.87,676.0,1.0,65.0,1.01,24.0,17.0,168.0,4.0,7.01,2.71,0.0,544.0,3.5,0.004,0
158,1.6475,187.0,21.0,851.0,0.17,1.04,6.298,0.0,0.12,0.86,0.62,2202.0,30.0,30.0,1.36,28.0,17.0,279.0,4.0,6.08,4.34,4.0,346.2,4.25,0.017,3
159,1.6475,0.0,10.0,643.0,0.05,0.46,4.616,0.0,0.05,0.6,0.3,2848.0,1.0,18.0,0.79,36.0,17.0,375.0,3.0,4.1,1.28,5.0,188.2,4.25,0.004,1
160,1.6475,13.0,8.0,535.0,0.01,0.47,5.388,0.0,0.05,0.32,1.11,1841.0,1.0,23.0,0.84,20.0,17.0,191.0,3.0,4.71,1.7,2.0,172.2,4.25,0.0066,2
161,1.6475,316.0,3.0,256.0,0.355,0.755,2.1145,0.0,0.205,0.02,1.84,689.5,0.0,54.5,1.015,24.0,17.0,160.0,3.0,7.01,2.725,1.0,540.5,4.25,0.004,0
162,1.6475,130.0,18.0,757.0,0.08,0.96,5.287,0.0,0.08,0.77,0.48,2420.0,12.0,40.0,1.08,26.0,17.0,287.0,4.0,5.7,3.92,4.0,250.4,4.25,0.081,2
163,1.6475,0.0,10.0,618.0,0.07,0.47,3.771,0.0,0.09,0.53,0.24,2967.0,2.0,32.0,0.68,35.0,17.0,375.0,3.0,4.14,1.35,4.0,285.7,4.25,0.0074,2
164,1.6475,156.0,3.0,270.0,0.37,0.72,2.079,0.0,0.28,0.0,1.76,697.0,0.0,77.0,0.98,24.0,17.0,148.0,3.0,7.02,2.56,1.0,647.5,4.25,0.004,0
165,1.21,162.0,2.0,199.0,0.35,0.6,0.493,0.0,0.18,0.0,1.38,362.0,2.0,62.0,0.66,23.0,17.0,185.0,3.0,7.25,2.6,0.0,528.0,5.25,0.004,0
166,1.72,229.0,2.5,277.0,0.31,0.735,0.561,0.0,0.165,0.02,1.155,618.5,1.0,57.5,0.62,18.0,17.0,124.5,4.0,6.86,1.75,0.0,453.0,4.25,0.004,0
167,2.84,150.0,3.0,257.0,0.35,0.73,2.148,0.0,0.24,0.0,1.75,714.0,0.0,75.0,1.0,23.0,17.0,157.0,5.0,7.02,2.58,1.0,551.5,3.25,0.004,0
168,1.6475,126.0,18.0,864.0,0.12,0.95,5.65,0.0,3.63,0.65,0.52,2349.0,12.0,34.0,1.28,26.0,17.0,330.0,4.0,5.62,3.88,4.0,318.0,4.25,0.105,3
169,1.6475,0.0,13.0,707.0,0.06,0.54,3.965,0.0,2.73,0.58,0.17,3373.0,1.0,25.0,0.75,39.0,17.0,429.0,4.0,3.99,1.52,5.0,437.8,4.25,0.0083,1
170,1.6475,15.0,16.0,817.0,0.06,0.56,6.146,0.0176,0.13,0.71,0.44,3272.0,3.0,29.0,0.92,24.0,17.0,372.0,4.0,4.59,1.93,4.0,410.3,4.25,0.0108,1
171,1.6475,150.0,3.0,267.0,0.34,0.72,2.114,0.0,0.2,0.02,1.76,715.0,2.0,63.0,0.99,24.0,17.0,157.0,4.0,6.97,2.56,1.0,643.5,4.25,0.004,0
172,1.6475,146.8,5.5,402.0,0.1525,0.71,3.457,0.031125,0.1375,0.7575,0.2225,3571.25,2.7,39.15,1.083333333,25.125,17.0,227.0,4.0,4.34,2.0525,1.0,454.25,4.25,0.0063,2
173,1.6475,146.8,5.5,402.0,0.05,0.65,3.457,0.0234,0.11,0.6,0.63,2371.0,2.7,39.15,1.14,25.125,17.0,227.0,4.0,5.04,2.75,1.0,454.25,4.25,0.0081,2
174,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17.0,227.0,4.0,4.21,2.545,1.0,454.25,4.25,0.0027,2
175,1.6475,146.8,5.5,402.0,0.01,0.54,3.457,0.017,0.09,0.57,0.66,2338.0,2.7,39.15,1.09,25.125,17.0,227.0,4.0,5.07,2.51,1.0,454.25,4.25,0.006,2
176,1.6475,230.0,26.0,918.0,0.23,1.34,6.814,0.0,0.14,1.26,0.41,2512.0,32.0,29.0,1.63,34.0,17.0,289.0,3.0,6.29,5.44,1.0,480.4,4.25,0.007,3
177,1.6475,0.0,18.0,838.0,0.11,0.59,5.034,0.0,0.1,0.89,0.12,3400.0,6.0,20.0,0.9,37.0,17.0,381.0,2.0,4.2,1.71,1.0,268.5,4.25,0.0007,1
178,1.6475,25.0,21.0,734.0,0.03,0.51,5.84,0.0,0.09,0.62,0.55,2104.0,4.0,20.0,0.93,20.0,17.0,463.0,3.0,4.84,1.96,0.0,221.8,4.25,0.002,2
179,1.54,168.0,3.5,188.5,0.355,0.61,0.4295,0.0,0.19,0.0,1.445,371.0,1.0,47.0,0.725,23.0,17.0,192.5,5.5,7.31,2.705,0.0,571.25,4.0,0.004,0
180,1.9,109.0,2.0,283.0,0.32,0.74,0.541,0.0,0.16,0.0,1.07,596.0,2.0,43.0,0.64,18.0,17.0,124.0,2.0,6.97,1.8,0.0,440.6,4.25,0.004,0
181,1.6475,146.8,5.5,402.0,0.085,0.665,3.457,0.0236,3.275,0.775,0.16,3577.0,2.7,39.15,1.07,25.125,17.0,227.0,4.0,4.39,1.945,1.0,454.25,4.25,0.0002,2
182,1.6475,146.8,5.5,402.0,0.04,0.58,3.457,0.0198,2.133333333,0.596666667,0.583333333,2224.333333,2.7,39.15,1.13,25.125,17.0,227.0,4.0,5.45,2.7,1.0,454.25,4.25,0.0009,2
183,3.44,150.0,2.0,299.0,0.36,0.76,2.191,0.0,0.2,0.0,1.66,720.0,1.0,48.0,1.07,24.0,17.0,162.0,6.0,7.05,2.75,1.0,525.0,3.25,0.004,0
184,1.6475,641.0,30.0,942.0,0.485,1.56,7.646,0.0,0.52,1.22,0.425,2247.0,43.5,41.0,2.17,41.0,17.0,411.0,7.5,6.52,6.245,1.0,708.25,4.25,0.004,3
185,1.6475,0.0,25.0,880.0,0.15,0.68,5.699,0.0,0.1,1.09,0.11,3883.0,5.0,17.0,0.94,35.0,17.0,318.0,4.0,4.26,2.04,1.0,326.9,4.25,0.0003,1
186,1.6475,42.0,31.0,897.0,0.07,0.54,6.242,0.0,0.12,0.88,0.36,2378.0,5.0,0.0,0.96,21.0,17.0,484.0,4.0,4.93,2.1,1.0,277.6,4.25,0.0008,2
187,1.6475,154.0,3.0,292.0,0.39,0.76,3.457,0.0,0.23,0.0,1.71,753.0,2.7,45.0,1.11,24.0,17.0,152.0,5.0,7.17,2.73,1.0,523.0,4.25,0.004,0
188,1.6475,292.0,26.0,908.0,0.22,1.48,7.506,0.0,0.19,1.17,0.39,2460.0,30.0,118.0,1.79,39.0,17.0,385.0,8.0,6.45,6.07,4.0,1362.0,4.25,0.005,3
189,1.6475,0.0,27.0,995.0,0.17,0.72,5.285,0.0,0.1,1.12,0.09,4227.0,2.7,45.0,0.91,39.0,17.0,382.0,4.0,4.18,2.15,8.0,516.0,4.25,0.0006,1
190,1.6475,153.0,3.0,279.0,0.35,0.74,2.145,0.0,0.2,0.0,1.7,746.0,1.0,68.0,1.04,24.0,17.0,158.0,4.0,7.06,2.72,1.0,702.5,4.25,0.004,0
191,1.1,164.0,2.0,199.0,0.36,0.6,0.373,0.0,0.17,0.0,1.33,435.0,2.7,54.0,0.71,22.0,17.0,190.0,4.0,7.24,2.65,1.0,505.0,4.5,0.004,0
192,2.1,229.0,2.0,228.5,0.305,0.75,0.5275,0.0,0.16,0.02,1.135,615.0,1.0,53.5,0.64,18.0,17.0,125.5,3.5,6.94,1.82,1.0,579.55,4.25,0.004,0
193,1.6475,153.0,3.0,289.0,0.43,0.76,2.143,0.0,0.28,0.0,1.8,719.0,0.0,65.0,1.12,25.0,17.0,167.0,5.0,7.04,2.71,1.0,604.0,2.75,0.004,0
194,1.6475,291.0,27.0,862.0,0.31,1.44,7.477,0.0,0.14,1.06,0.52,2211.0,40.0,36.0,1.89,39.0,17.0,407.0,5.0,6.46,5.83,4.0,694.4,4.25,0.012,3
195,1.6475,0.0,31.0,1010.0,0.19,0.8,4.162,0.0,0.12,1.15,0.13,4684.0,0.0,80.0,0.92,43.0,17.0,441.0,7.0,4.12,2.34,8.0,838.7,4.25,0.0017,1
196,1.6475,19.0,73.0,1310.0,0.07,0.63,6.381,0.0,0.17,1.15,0.3,3444.0,0.0,82.0,1.01,25.0,17.0,467.0,5.0,4.66,2.45,11.0,860.5,4.25,0.0027,1
197,1.6475,158.0,2.0,271.0,0.37,0.73,2.114,0.0,0.11,0.02,0.34,754.0,0.0,81.0,1.05,24.0,17.0,160.0,4.0,7.12,2.68,1.0,684.4,4.25,0.004,0
198,1.6475,146.8,5.5,402.0,0.218,1.473333333,3.457,0.014433333,0.145,1.07,0.515,1945.857143,2.7,39.15,2.124285714,25.125,17.0,227.0,4.0,6.96,6.52,1.0,454.25,4.25,0.004,3
199,1.6475,146.8,5.5,402.0,0.318,0.928,3.457,0.03274,0.192,1.082,0.192,3293.4,2.7,39.15,1.175,25.125,17.0,227.0,4.0,4.46,2.856,1.0,454.25,4.25,0.0008,2
200,1.6475,146.8,5.5,402.0,0.055,0.643333333,3.457,0.026466667,0.18,0.92,0.413333333,2085.333333,2.7,39.15,1.19,25.125,17.0,227.0,4.0,5.17,2.663333333,1.0,454.25,4.25,0.0003,2
201,1.6475,182.0,25.0,971.0,0.27,1.19,6.796,0.0,0.18,1.12,0.55,2735.0,0.0,98.0,1.62,32.0,17.0,309.0,14.0,6.01,4.9,4.0,1276.0,4.25,0.035,3
202,1.6475,0.0,24.0,923.0,0.27,0.79,4.218,0.0,0.13,1.02,0.2,4572.0,2.0,45.0,0.86,48.0,17.0,452.0,6.0,4.1,2.25,7.0,569.5,4.25,0.0056,1
203,1.6475,20.0,42.0,1067.0,0.09,0.71,6.292,0.0,0.32,1.09,0.36,3409.0,14.0,44.0,1.08,28.0,17.0,504.0,6.0,4.71,2.82,8.0,442.3,4.25,0.0033,1
204,1.6475,158.0,2.0,261.0,0.37,0.73,2.053,0.0,0.21,0.0,1.81,744.0,0.0,58.0,1.05,25.0,17.0,163.0,5.0,7.08,2.64,1.0,513.5,4.25,0.004,0
205,1.6475,146.8,5.5,402.0,0.31,1.37,3.457,0.0,0.205,0.883333333,0.593333333,2594.0,2.7,39.15,1.96,25.125,17.0,227.0,4.0,6.6,5.856666667,1.0,454.25,4.25,0.022,3
206,1.6475,146.8,5.5,402.0,0.2625,0.975,3.457,0.02225,0.155,1.0675,0.18,4780.25,2.7,39.15,1.2,25.125,17.0,227.0,4.0,4.25,3.163333333,1.0,454.25,4.25,0.0025,1
207,1.455,338.0,2.5,189.5,0.385,0.58,0.3565,0.0,0.21,0.0,1.465,349.0,1.0,35.0,1.08,23.0,17.0,193.0,5.0,7.28,2.595,0.0,439.2,5.75,0.004,0
208,2.59,116.0,3.0,255.0,0.31,0.69,1.414,0.0,0.16,0.02,1.13,605.0,1.0,43.0,0.61,18.0,17.0,121.0,4.0,7.04,1.68,0.0,455.3,4.25,0.004,0
209,3.09,157.0,3.0,260.0,0.34,0.78,2.288,0.0,0.25,0.02,2.35,727.0,0.0,62.0,1.1,25.0,17.0,176.0,5.0,6.92,2.86,0.0,453.4,2.75,0.004,0
210,1.6475,558.0,24.5,893.5,0.315,1.585,7.619,0.0,0.14,1.385,0.38,2640.0,12.5,41.5,1.965,36.5,17.0,381.5,6.0,6.38,6.26,4.0,655.75,4.25,0.005,3
211,1.6475,0.0,32.0,1037.0,0.25,0.83,4.985,0.0,0.12,1.33,0.1,4427.0,0.0,45.0,0.95,38.0,17.0,407.0,6.0,4.22,2.49,9.0,509.5,4.25,0.0005,1
212,1.6475,24.0,35.0,969.0,0.02,0.57,6.492,0.0,0.14,0.95,0.43,2542.0,4.0,20.0,1.02,21.0,17.0,418.0,4.0,4.79,2.21,6.0,362.2,4.25,0.0016,1
213,1.6475,155.0,2.0,272.0,0.35,0.78,2.219,0.0,0.2,0.02,1.82,728.0,2.0,54.0,1.12,24.0,17.0,164.0,4.0,7.16,2.86,0.0,420.0,4.25,0.004,0
214,1.6475,296.0,27.0,926.0,0.52,1.64,7.557,0.0,0.23,1.28,0.56,2454.0,1.0,62.0,2.13,37.0,17.0,408.0,6.0,6.46,6.27,9.0,770.5,4.25,0.007,3
215,1.6475,0.0,41.0,1096.0,0.3,0.89,5.49,0.015,0.23,1.45,0.08,4708.0,0.0,46.0,0.99,39.0,17.0,427.0,4.0,4.15,2.66,14.0,651.0,4.25,0.0009,1
216,1.6475,30.0,54.0,1072.0,0.05,0.58,6.306,0.0,0.23,1.02,0.3,2830.0,0.0,44.0,1.06,20.0,17.0,384.0,5.0,4.85,2.21,13.0,584.5,4.25,0.0016,1
217,1.6475,159.0,4.0,262.0,0.34,0.78,2.078,0.0,0.24,0.0,1.87,692.0,3.0,50.0,1.12,23.0,17.0,170.0,5.0,7.04,2.84,0.0,534.0,4.25,0.004,0
218,3.035,121.0,3.5,260.0,0.34,0.81,0.495,0.0,5.16,0.035,1.22,574.0,2.0,48.0,0.71,18.0,17.0,163.5,3.0,6.94,1.98,0.0,492.6,4.25,0.004,0
219,3.47,160.0,3.0,282.0,0.44,0.88,2.277,0.0,0.25,0.09,1.89,677.0,0.0,43.0,1.22,25.0,17.0,188.0,3.0,6.83,3.13,0.0,438.2,2.75,0.004,0
220,1.6475,156.0,23.0,957.0,0.44,1.2,7.032,0.0,0.33,1.09,0.63,2682.0,47.0,45.0,1.68,30.0,17.0,298.0,6.0,5.79,4.63,5.0,519.5,4.25,0.058,3
221,1.6475,0.0,23.0,1095.0,0.37,0.91,4.052,0.0,0.53,1.08,0.22,4710.0,0.0,55.0,0.89,48.0,17.0,415.0,5.0,4.02,2.57,8.0,754.5,4.25,0.0089,1
222,1.6475,23.0,35.0,1044.0,0.06,0.7,5.759,0.0,0.3,1.01,0.41,3108.0,0.0,56.0,1.12,26.0,17.0,360.0,5.0,4.62,2.63,7.0,556.0,4.25,0.0134,1
223,1.6475,159.0,3.0,274.0,0.38,0.8,2.141,0.0,0.22,0.0,1.7,679.0,6.0,58.0,1.14,25.0,17.0,174.0,5.0,6.97,2.89,0.0,535.5,4.25,0.004,0
224,1.6475,146.8,5.5,402.0,0.4525,1.1975,3.457,0.0,0.345,0.95,0.64,2682.5,2.7,39.15,1.765,25.125,17.0,227.0,4.0,6.35,4.675,1.0,454.25,4.25,0.061,3
225,1.6475,370.0,22.0,815.0,0.28,1.255,7.299,0.0186,0.205,63.63,0.44,2568.0,9.5,93.5,1.725,31.0,17.0,284.5,7.5,6.18,4.93,4.0,1136.0,4.25,0.014,3
226,1.6475,0.0,32.0,1008.0,0.33,0.81,4.667,0.0,0.16,1.22,0.08,4261.0,0.0,218.0,0.89,42.0,17.0,425.0,10.0,4.14,2.3,9.0,3977.0,4.25,0.0017,1
227,1.6475,17.0,24.0,769.0,0.02,0.54,5.586,0.0,0.21,0.67,0.89,2051.0,2.0,27.0,0.96,21.0,17.0,362.0,4.0,4.85,2.01,4.0,365.8,4.25,0.0062,2
228,1.6475,154.0,4.0,260.0,0.38,0.81,2.177,0.0,0.23,0.03,1.74,700.0,8.0,109.0,1.16,25.0,17.0,178.0,9.0,6.96,2.92,0.0,1158.0,4.25,0.004,0
229,1.235,332.0,2.0,193.5,0.375,0.66,0.2815,0.0,0.215,0.0,1.36,340.0,0.0,42.5,0.795,23.0,17.0,203.0,3.5,7.14,2.92,0.0,409.2,5.75,0.004,0
230,2.8,117.2,3.0,213.0,0.33,0.81,0.511,0.0,0.15,0.02,1.09,593.0,0.0,58.0,0.72,19.0,17.0,140.0,5.0,6.83,1.97,0.0,509.5,4.25,0.004,0
231,1.6475,412.0,24.0,734.5,0.365,1.26,4.741,0.015,0.43,1.06,0.61,2071.0,48.5,40.0,1.96,31.5,17.0,295.5,4.0,6.32,4.78,3.5,331.95,4.25,0.013,3
232,1.6475,0.0,43.0,1050.0,0.37,0.82,5.099,0.0,0.19,1.3,0.08,4369.0,0.0,64.0,0.92,40.0,17.0,370.0,5.0,4.17,2.39,11.0,728.0,4.25,0.0014,1
233,1.6475,20.4,36.0,781.0,0.02,0.5,6.242,0.0,0.23,0.73,0.75,1984.0,16.0,32.0,1.06,19.0,17.0,346.0,4.0,4.93,1.85,5.0,365.0,4.25,0.0038,2
234,1.6475,157.6,4.0,255.0,0.42,0.82,7.253,0.0,0.34,0.02,1.67,667.0,3.0,79.0,1.19,25.0,17.0,199.0,5.0,6.84,2.99,0.0,727.0,4.25,0.004,3
235,1.6475,0.0,47.0,1164.0,0.37,0.81,3.457,0.0,0.24,1.26,0.1,4418.0,0.0,67.0,0.92,36.0,17.0,352.0,5.0,4.21,2.44,9.0,752.5,4.25,0.0004,1
236,1.6475,27.6,43.0,927.0,0.04,0.48,6.207,0.0,0.24,0.71,0.69,2047.0,29.0,36.0,1.04,18.0,17.0,417.0,4.0,4.88,1.78,5.0,426.9,4.25,0.0017,1
237,1.6475,168.0,3.0,275.0,0.39,0.82,2.165,0.0,0.24,0.02,1.88,655.0,5.0,80.0,1.17,30.0,17.0,202.0,5.0,6.81,2.99,0.0,756.5,4.25,0.004,0
238,1.6475,231.0,23.0,684.0,0.32,1.23,7.805,0.0,0.26,0.92,0.76,1765.0,50.0,39.0,1.99,32.0,17.0,326.0,4.0,6.44,4.6,3.0,351.3,4.25,0.008,3
239,1.6475,0.0,46.0,1237.0,0.46,0.84,5.921,0.0,0.18,1.38,0.1,4352.0,0.0,68.0,0.97,37.0,17.0,355.0,6.0,4.22,2.46,10.0,840.5,4.25,0.0005,1
240,1.6475,31.8,49.0,944.0,0.07,0.49,6.87,0.0,0.22,0.76,0.65,2129.0,39.0,52.0,1.08,19.0,17.0,459.0,4.0,4.9,1.83,7.0,554.0,4.25,0.0016,1
241,1.6475,164.2,3.0,228.0,0.41,0.84,2.351,0.0,0.22,0.03,1.79,634.0,15.0,65.0,1.18,26.0,17.0,223.0,4.0,6.75,3.07,0.0,541.5,4.25,0.004,0
242,1.6475,190.6,23.0,724.0,0.29,1.15,7.407,0.0,0.25,0.97,0.75,1963.0,45.0,43.0,1.9,30.0,17.0,281.0,5.0,6.32,4.39,5.0,387.7,4.25,0.009,3
243,1.6475,0.0,42.0,1128.5,0.41,0.8,5.4975,0.0099,0.175,1.205,0.105,4352.5,0.0,61.5,0.925,38.0,17.0,359.5,11.5,4.23,2.355,10.5,906.75,4.25,0.0006,1
244,1.6475,24.0,35.0,830.0,0.07,0.48,6.035,0.0,0.23,0.68,0.91,1958.0,40.0,28.0,1.09,19.0,17.0,360.0,5.0,4.94,1.77,0.0,354.8,4.25,0.0029,2
245,1.6475,167.6,3.0,249.0,0.4,0.83,2.325,0.0,0.23,0.03,1.9,644.0,11.0,66.0,1.18,26.0,17.0,223.0,7.0,6.71,3.02,1.0,570.0,4.25,0.004,0
246,2.21,174.2,3.0,171.0,0.39,0.66,0.428,0.0,0.19,0.07,1.44,380.0,4.0,42.0,0.78,23.0,17.0,226.0,5.0,6.98,2.94,0.0,416.0,4.0,0.004,0
247,1.88,126.2,3.0,248.0,0.58,1.07,0.59,0.0348,0.18,0.25,1.25,548.0,4.0,53.0,0.95,20.0,17.0,188.0,6.0,6.58,2.27,0.0,396.3,4.25,0.004,0
248,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1496.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
249,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,2544.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
250,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1262.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
251,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1079.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
252,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1449.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
253,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,2516.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
254,1.6475,146.8,5.5,402.0,0.35,0.69,3.457,0.0,0.2,0.265,1.36,1113.0,2.7,39.15,0.98,25.125,17.0,227.0,4.0,6.35,2.545,1.0,454.25,4.25,0.004,0
